,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
101,301,2022-07-12 10:09:03,2.7,7,Ⅰ,33.11,127.66,제주 서귀포시 동쪽 104km 해역
102,300,2022-07-12 09:56:02,2.3,6,Ⅰ,33.12,127.64,제주 서귀포시 동쪽 102km 해역
103,299,2022-07-12 00:44:03,2.2,10,Ⅰ,33.14,127.66,제주 서귀포시 동쪽 103km 해역
104,298,2022-07-12 00:41:25,2.1,10,Ⅰ,33.14,127.65,제주 서귀포시 동쪽 102km 해역
105,297,2022-07-03 07:54:23,2.6,13,Ⅰ,33.31,127.45,전남 여수시 거문도 남쪽 81km 해역
106,296,2022-06-30 22:51:52,2.3,6,Ⅳ,37.02,128.98,경북 봉화군 동북동쪽 26km 지역
107,295,2022-06-30 02:55:34,2.1,18,Ⅰ,35.90,129.73,경북 포항시 남구 동남동쪽 35km 해역
108,294,2022-06-29 15:26:06,2.3,21,Ⅰ,35.89,129.70,경북 포항시 남구 동남동쪽 33km 해역
109,293,2022-06-02 20:48:21,2.6,26,Ⅰ,38.12,130.98,경북 울릉군 울릉도 북쪽 71km 해역
110,292,2022-05-13 06:50:56,2.3,21,Ⅰ,33.34,127.22,제주 서귀포시 동쪽 62km 해역
113,289,2022-04-18 14:22:38,2.3,11,Ⅲ,37.26,126.10,인천 옹진군 서남서쪽 52km 지역
114,288,2022-04-17 23:33:29,2.3,9,Ⅲ,35.22,128.60,경남 창원시 마산회원구 동쪽 2km 지역
115,287,2022-04-16 02:08:34,2.6,18,Ⅲ,34.75,127.26,전남 고흥군 북쪽 16km 지역
116,286,2022-04-12 14:56:28,2.4,14,Ⅲ,36.82,129.47,경북 울진군 남남동쪽 20km 해역
117,285,2022-04-10 02:45:46,3.4,18,Ⅲ,36.45,129.62,경북 영덕군 동쪽 23km 해역
118,284,2022-04-09 10:55:42,2.2,19,Ⅱ,36.54,128.08,경북 상주시 북북서쪽 16km 지역
119,283,2022-04-03 14:19:19,2.0,11,Ⅲ,35.69,129.35,경북 경주시 남남동쪽 22km 지역
120,282,2022-03-16 18:18:18,2.3,-,Ⅰ,33.70,125.06,전남 신안군 흑산도 남남서쪽 113km 해역
122,280,2022-03-06 18:40:32,2.5,18,Ⅰ,37.31,129.54,강원 삼척시 동남동쪽 37km 해역
123,279,2022-03-05 22:16:21,2.4,12,Ⅲ,36.39,127.13,충남 공주시 남쪽 6km 지역
126,276,2022-02-24 12:07:10,2.2,21,Ⅰ,34.00,127.59,전남 여수시 거문도 동쪽 25km 해역
131,271,2022-02-10 17:20:34,2.2,19,Ⅲ,35.29,126.59,전남 영광군 동북동쪽 7km 지역
132,270,2022-02-08 15:57:13,2.9,16,Ⅰ,35.07,125.06,전남 신안군 흑산도 북서쪽 55km 해역
133,269,2022-02-04 02:47:44,2.3,16,Ⅰ,37.41,129.51,강원 삼척시 동쪽 31km 해역
134,268,2022-02-02 12:04:55,2.4,19,Ⅲ,35.72,128.99,경북 청도군 동북동쪽 24km 지역
135,267,2022-01-28 06:46:53,2.3,9,Ⅱ,34.37,127.30,전남 고흥군 남쪽 26km 해역
138,264,2021-12-17 06:22:10,3.2,18,Ⅲ,33.12,126.18,제주 서귀포시 서남서쪽 38km 해역
139,263,2021-12-15 22:02:14,2.3,10,Ⅳ,35.79,127.80,경남 거창군 북서쪽 15km 지역
140,262,2021-12-15 15:06:47,2.8,14,Ⅱ,33.14,126.15,제주 서귀포시 서남서쪽 40km 해역
141,261,2021-12-14 17:19:14,4.9,17,Ⅴ,33.09,126.16,제주 서귀포시 서남서쪽 41km 해역
142,260,2021-12-09 10:57:47,2.6,17,Ⅰ,33.85,125.51,전남 신안군 흑산도 남쪽 91km 해역
143,259,2021-12-04 12:33:22,2.3,20,Ⅰ,38.02,124.52,인천 옹진군 백령도 서북서쪽 16km 해역
144,258,2021-11-22 05:19:31,2.1,7,Ⅱ,35.48,127.11,전북 순창군 북북서쪽 12km 지역
145,257,2021-11-19 02:35:08,2.2,11,Ⅰ,33.85,124.77,전남 신안군 흑산도 남남서쪽 109km 해역
146,256,2021-11-17 01:39:11,2.9,19,Ⅰ,35.66,129.75,울산 동구 동북동쪽 35km 해역
147,255,2021-11-16 20:53:24,2.1,8,Ⅰ,34.50,125.90,전남 진도군 서쪽 33km 해역
148,254,2021-11-16 11:57:58,2.1,18,Ⅰ,35.06,125.06,전남 신안군 흑산도 북서쪽 54km 해역
149,253,2021-11-12 01:31:05,2.1,8,Ⅱ,36.15,129.38,경북 포항시 북구 북쪽 12km 지역
150,252,2021-10-22 06:51:48,2.4,14,Ⅲ,36.90,128.22,충북 제천시 남쪽 26km 지역
151,251,2021-10-19 22:13:31,2.2,22,Ⅰ,35.90,129.75,경북 포항시 남구 동남동쪽 37km 해역
157,245,2021-10-10 02:18:51,2.1,7,Ⅰ,35.10,125.06,전남 신안군 흑산도 북서쪽 58km 해역
158,244,2021-10-06 21:55:48,2.5,13,Ⅲ,35.25,127.86,경남 하동군 북북동쪽 23km 지역
159,243,2021-09-23 12:02:43,2.6,16,Ⅳ,35.42,128.49,경남 창녕군 남쪽 14km 지역
160,242,2021-09-20 06:58:49,2.2,8,Ⅲ,34.88,127.25,전남 보성군 북동쪽 20km 지역
161,241,2021-09-17 05:30:13,2.2,10,Ⅱ,36.71,126.11,충남 태안군 서남서쪽 17km 해역
162,240,2021-09-14 03:36:01,2.2,16,Ⅲ,35.41,128.78,경남 밀양시 남남동쪽 11km 지역
163,239,2021-09-12 02:04:46,2.1,13,Ⅱ,35.53,128.53,경남 창녕군 동남동쪽 4km 지역
166,236,2021-08-29 18:47:20,2.6,15,Ⅰ,36.98,125.02,충남 태안군 서격렬비도 북서쪽 62km 해역
167,235,2021-08-29 13:03:23,2.2,9,Ⅲ,35.31,128.49,경남 함안군 동북동쪽 9km 지역
168,234,2021-08-28 07:03:22,2.2,15,Ⅲ,35.00,127.73,전남 광양시 북북동쪽 7km 지역
169,233,2021-08-26 15:58:14,2.3,17,Ⅰ,35.07,125.12,전남 신안군 흑산도 북북서쪽 52km 해역
170,232,2021-08-21 09:40:40,4.0,7,Ⅱ,35.70,124.70,전북 군산시 어청도 서남서쪽 124km 해역
172,230,2021-08-18 16:57:11,2.1,-,Ⅰ,35.10,129.84,부산 기장군 동남동쪽 58km 해역
173,229,2021-08-15 09:32:43,2.0,18,Ⅰ,35.10,129.78,부산 기장군 동남동쪽 53km 해역
174,228,2021-08-01 14:19:26,2.2,13,Ⅰ,35.65,129.53,울산 북구 동북동쪽 17km 해역
175,227,2021-07-31 05:17:10,2.5,22,Ⅲ,35.65,128.40,대구 달성군 남남서쪽 14km 지역
176,226,2021-07-26 06:50:56,2.2,14,Ⅲ,36.32,128.21,경북 상주시 남남동쪽 11km 지역
177,225,2021-07-07 06:57:27,2.3,20,Ⅱ,36.77,128.46,경북 예천군 북쪽 14km 지역
178,224,2021-06-14 22:42:17,2.4,20,Ⅰ,35.81,129.77,경북 포항시 남구 동남동쪽 43km 해역
180,222,2021-06-13 06:13:51,2.0,26,Ⅰ,36.97,130.34,경북 울릉군 울릉도 남서쪽 76km 해역
181,221,2021-06-07 18:34:02,2.1,13,Ⅰ,33.68,128.07,전남 여수시 거문도 동남동쪽 80km 해역
183,219,2021-05-26 06:13:24,2.2,-,Ⅰ,35.83,124.56,충남 태안군 서격렬비도 남서쪽 124km 해역
184,218,2021-05-13 06:04:28,2.0,10,Ⅲ,35.89,127.33,전북 완주군 동쪽 15km 지역
185,217,2021-05-04 22:42:08,2.0,19,Ⅰ,35.89,129.67,경북 포항시 남구 동남동쪽 31km 해역
186,216,2021-04-30 16:15:04,2.1,7,Ⅲ,35.52,128.88,경남 밀양시 동쪽 12km 지역
187,215,2021-04-29 05:12:25,2.0,18,Ⅰ,35.65,129.83,울산 동구 동북동쪽 41km 해역
188,214,2021-04-28 12:00:40,2.5,20,Ⅰ,35.65,129.79,울산 동구 동북동쪽 37km 해역
189,213,2021-04-25 17:07:59,2.3,5,Ⅰ,37.48,124.36,인천 옹진군 백령도 남남서쪽 60km 해역
191,211,2021-04-20 02:13:27,2.6,15,Ⅰ,35.08,125.05,전남 신안군 흑산도 북서쪽 57km 해역
193,209,2021-04-19 14:20:27,3.7,15,Ⅱ,35.07,125.08,전남 신안군 흑산도 북서쪽 54km 해역
194,208,2021-04-16 01:43:23,2.2,11,Ⅲ,37.29,127.71,경기 여주시 동쪽 7km 지역
195,207,2021-04-13 21:56:15,2.0,13,Ⅲ,36.02,126.91,전북 익산시 북북서쪽 9km 지역
196,206,2021-03-16 02:51:52,2.6,18,Ⅲ,35.76,129.19,경북 경주시 남남서쪽 11km 지역
197,205,2021-02-21 09:03:34,2.2,18,Ⅱ,35.47,126.34,전남 영광군 북서쪽 27km 해역
198,204,2021-02-15 18:59:25,2.5,14,Ⅳ,35.99,126.84,전북 군산시 동북동쪽 10km 지역
199,203,2021-02-10 19:28:18,2.1,9,Ⅱ,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
202,200,2021-02-06 04:40:03,2.7,5,Ⅳ,35.81,127.53,전북 장수군 북쪽 18km 지역
203,199,2021-02-03 12:17:56,2.2,8,Ⅲ,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
204,198,2021-01-24 06:23:05,2.1,11,Ⅰ,35.84,125.14,전북 군산시 어청도 서남서쪽 81km 해역
205,197,2021-01-14 08:17:28,2.1,-,Ⅰ,36.86,125.43,충남 태안군 서격렬비도 북북서쪽 30km 해역
206,196,2020-12-23 21:28:20,2.2,12,Ⅲ,37.73,126.73,경기 파주시 남서쪽 6km 지역
207,195,2020-12-18 17:17:23,2.7,16,Ⅱ,37.66,129.32,강원 동해시 북동쪽 24km 해역
211,191,2020-11-15 00:00:29,2.1,17,Ⅲ,35.76,129.18,경북 경주시 남남서쪽 11km 지역
212,190,2020-11-08 15:26:09,2.9,9,Ⅳ,36.41,128.22,경북 상주시 동쪽 5km 지역
213,189,2020-11-06 18:27:23,2.0,8,Ⅱ,36.43,128.14,경북 상주시 북서쪽 3km 지역
214,188,2020-11-04 16:50:30,2.4,22,Ⅰ,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
215,187,2020-11-04 07:23:48,2.2,23,Ⅰ,35.83,129.78,경북 포항시 남구 동남동쪽 43km 해역
217,185,2020-10-25 19:10:49,2.5,17,Ⅰ,33.89,125.65,전남 진도군 남서쪽 87km 해역
218,184,2020-10-24 15:09:01,2.1,21,Ⅰ,33.93,127.45,전남 여수시 거문도 남동쪽 16km 해역
219,183,2020-10-09 04:38:14,2.1,15,Ⅲ,35.75,129.17,경북 경주시 남남서쪽 13km 지역
220,182,2020-10-07 04:05:32,2.1,22,Ⅰ,33.92,127.44,전남 여수시 거문도 남동쪽 16km 해역
224,178,2020-09-22 20:08:54,2.1,15,Ⅱ,36.60,129.37,경북 영덕군 북쪽 21km 지역
225,177,2020-09-20 01:22:14,2.2,17,Ⅲ,36.51,127.14,충남 공주시 북북동쪽 7km 지역
226,176,2020-09-13 00:54:03,2.9,15,Ⅰ,37.64,124.60,인천 옹진군 백령도 남남서쪽 35km 해역
227,175,2020-09-12 13:31:05,2.4,15,Ⅱ,36.03,128.40,경북 칠곡군 북쪽 4km 지역
228,174,2020-09-02 19:43:06,2.3,-,Ⅱ,34.38,126.20,전남 진도군 남남서쪽 13km 지역
232,170,2020-08-01 13:15:06,2.0,19,Ⅱ,36.77,128.48,경북 예천군 북쪽 13km 지역
234,168,2020-07-25 00:34:06,2.2,7,Ⅰ,34.06,125.54,전남 신안군 흑산도 남쪽 66km 해역
235,167,2020-07-20 19:02:00,2.0,11,Ⅰ,34.53,128.14,경남 남해군 남남동쪽 41km 해역
236,166,2020-07-15 15:20:47,2.4,-,Ⅰ,34.88,124.68,전남 신안군 흑산도 서북서쪽 77km 해역
237,165,2020-07-11 22:38:55,2.7,-,Ⅰ,37.88,129.58,강원 동해시 북동쪽 57km 해역
238,164,2020-07-07 14:08:23,3.3,12,Ⅲ,37.19,125.55,인천 옹진군 연평도 남남서쪽 54km 해역
239,163,2020-07-03 13:59:31,2.3,6,Ⅲ,37.18,128.71,강원 영월군 동쪽 22km 지역
241,161,2020-06-23 19:58:05,2.1,6,Ⅲ,37.86,126.90,경기 파주시 북동쪽 15km 지역
242,160,2020-06-21 09:49:52,2.3,9,Ⅱ,38.47,128.52,강원 고성군 북북동쪽 11km 해역
243,159,2020-06-08 00:52:10,2.1,5,Ⅲ,36.01,128.01,경북 김천시 남남서쪽 17km 지역
245,157,2020-05-27 19:23:28,2.8,6,Ⅲ,36.01,128.01,경북 김천시 남남서쪽 17km 지역
247,155,2020-05-13 15:19:02,2.8,12,Ⅲ,36.10,127.34,전북 완주군 북동쪽 27km 지역
250,152,2020-05-09 01:57:39,2.2,21,Ⅱ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
251,151,2020-05-07 02:07:31,2.1,17,Ⅰ,34.77,124.68,전남 신안군 흑산도 서쪽 73km 해역
253,149,2020-05-03 22:07:14,3.1,21,Ⅲ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
254,148,2020-05-02 02:57:02,2.3,21,Ⅱ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
255,147,2020-04-30 07:13:13,2.4,21,Ⅲ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
257,145,2020-04-28 12:52:01,2.1,22,Ⅱ,34.66,126.41,전남 해남군 서북서쪽 20km 지역
258,144,2020-04-28 12:06:53,2.4,10,Ⅱ,36.16,127.43,충남 금산군 북서쪽 8km 지역
259,143,2020-04-27 11:07:10,2.8,6,Ⅳ,35.80,127.53,전북 장수군 북쪽 17km 지역
260,142,2020-04-24 02:07:22,2.3,15,Ⅰ,35.30,125.54,전남 신안군 흑산도 북쪽 73km 해역
261,141,2020-04-22 20:54:26,2.1,9,Ⅰ,38.11,130.01,강원 동해시 북동쪽 102km 해역
262,140,2020-04-18 07:36:28,2.3,14,Ⅱ,37.58,126.14,인천 강화군 서남서쪽 36km 해역
264,138,2020-03-20 16:02:45,2.7,9,Ⅲ,35.39,128.01,경남 산청군 동남동쪽 13km 지역
265,137,2020-03-10 01:16:33,2.0,12,Ⅰ,35.44,125.54,전북 군산시 어청도 남남서쪽 85km 해역
268,134,2020-02-16 20:03:35,2.7,19,Ⅰ,36.26,130.49,경북 영덕군 동쪽 102km 해역
269,133,2020-02-09 14:41:26,2.4,9,Ⅲ,35.77,129.03,경북 경주시 서남서쪽 18km 지역
