,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2875,01232972902,엔티모아,36.589,126.314,충남 태안군 남면 신온리 802-6,해양경찰청,[지상] 1/2층,신온출장소,POINT (893906.9245446797 1844119.9292151846),0
2876,01231329186,엔티모아,33.326,126.845,제주특별자치도 서귀포시 표선면 표선리 45-14,우정사업본부,[지상] 1/2층,표선출장소,POINT (939038.1085247275 1481804.70885859),0
2877,01232971596,엔티모아,35.096,128.717,경남 창원시 진해구 명동 421-3,SKT1,[지상] 1/1층,창원해양경찰서 진해파출소 소속 명동출장소,POINT (1110926.256410167 1678551.5551463012),0
2878,01232971806,엔티모아,37.894,128.831,강원 강릉시 주문진읍 주문리 265-25,SKT1,[지상] 2층/3층층,주문진파출소,POINT (1117028.8588086776 1989074.1624363072),0
2879,01232972285,우리넷,37.905,128.829,강원 강릉시 주문진읍 주문리 791-42,SKT1,[지상] 1/1층,소돌출장소,POINT (1116835.6061054128 1990292.1880175215),강릉시
2880,01232971450,엔티모아,38.009,128.731,강원 양양군 현북면 기사문리 89-36,SKT1,[지상] 1/1층,기사문출장소,POINT (1108067.330893567 2001713.5050068172),양양군
2881,01232971856,엔티모아,37.98,128.762,강원 양양군 현남면 동산리 6,SKT2,[지상] 1/1층,동산출장소,POINT (1110832.5096360585 1998532.1724036536),0
2882,01232971628,엔티모아,35.16,129.139,부산 해운대구 우동 1393,SKT1,[지상] 1/1층,광안리파출소/신당출장소,POINT (1149276.6650873143 1686201.3908952666),0
2883,01232972127,엔티모아,35.157,129.151,부산 해운대구 우동 1437,SKT1,[지상] 1/1층,광안리파출소/동백출장소,POINT (1150375.2249415312 1685886.7232678272),0
2884,01232971866,엔티모아,35.933,129.526,경북 포항시 남구 장기면 모포길 92,SKT1,[지상] 1층/2층층,포항해양경찰서 모포출장소,POINT (1182764.8510142057 1772598.9183260305),포항시 남구
2885,01232973450,엔티모아,34.846,127.914,경상남도 남해군 남해읍 선소로 172,SKT1,[지상] 1/1층,선소출장소,POINT (1037848.9427169284 1650228.37831886),남해군
2886,01232973346,엔티모아,34.917,128.032,남해군동부대로2964번길39,SKT1,[지상] 1/2층,사천파출소/창선출장소,POINT (1048595.0921079305 1658152.860020198),남해군
2887,01232972183,엔티모아,37.686,129.04,헌화로 981,SKT1,[지상] 1층/1층층,정동출장소,POINT (1135786.5235049294 1966277.7177578574),강릉시
2888,01232971260,엔티모아,37.735,128.989,강원 강릉시 강동면 안인진리 314-1,SKT1,[지상] 1층/1층층,안인출장소,POINT (1131202.9901255565 1971641.8810406495),강릉시
2889,01232971282,엔티모아,36.828,129.445,경북 울진군 기성면 사동리 308-1,SKT1,[지상] 1/2층,사동출장소,POINT (1173456.937917766 1871742.260275049),울진군
2890,01232971229,엔티모아,36.119,125.98,전북 군산시 옥도면 어청도리 322-37,SKT1,[지상] 1/1층,어청도출장소,POINT (863207.1846136705 1792402.1261661733),군산시
2891,01232972233,엔티모아,37.018,126.462,난지3길 12,SKT1,[지상] 1/1층,출장소,POINT (907663.2148181836 1891557.7578992632),당진시
2892,01232973188,엔티모아,35.998,129.457,포항시 남구 호미로3192번길 118,SKT1,[지상] 1/1층,임곡출장소,POINT (1176394.9060674852 1779682.611773453),0
2893,01232971424,엔티모아,34.737,127.743,전남 여수시 종화동 526-11,SKT1,[지상] 1/1층,여수중앙출장소,POINT (1022244.8904425732 1638089.8559114246),0
2894,01232971504,엔티모아,37.652,129.048,강릉시옥계면헌화로431,SKT1,[지상] 1/1층,묵호파출소/금진출장소,POINT (1136554.2529446613 1962516.831883296),강릉시
2895,01232972336,엔티모아,36.624,126.368,충남 서산시 부석면 창리 293-65,SKT2,[지상] 1/1층,창리출장소,POINT (898783.4064120093 1847944.3016803544),0
2896,01232972069,엔티모아,36.605,126.411,충남 서산시 부석면 간월도리 26-33,SKT1,[지상] 1/1층,간월도출장소,POINT (902604.4476635793 1845792.1333475478),서산시
2897,01232971139,엔티모아,34.351,126.474,전남 해남군 송지면 어란리 1382,SKT1,[지상] 1층/1층층,어란출장소,POINT (905640.7630243408 1595737.0016148079),해남군
2898,01232971700,엔티모아,34.05,125.129,가거도길1,SKT1,[지상] 1/1층,가거도출장소,POINT (781148.1756342667 1564421.1808540297),신안군
2899,01232971538,엔티모아,34.737,127.858,경남 남해군 남면 선구리 693-4,SKT1,[지상] 1/1층,남면 출장소,POINT (1032772.3484044265 1638121.3174451026),남해군
2900,01232972414,엔티모아,34.717,127.992,경남 남해군 남해대로675번길 75,SKT1,[지상] 1/1층,상주출장소,POINT (1045050.0348885686 1635955.3129488113),남해군
2901,01232972316,엔티모아,37.541,129.112,강원 동해시 발한동 80-310,SKT1,[지상] 1/1층,향로봉출장소,POINT (1142411.7414735358 1950295.87238075),동해시
2902,01232972288,엔티모아,34.793,128.052,경남 남해군 동부대로1030번길 42-18,SKT1,[지상] 1/1층,삼동출장소,POINT (1050497.7096440739 1644411.729248625),남해군
2903,01232970885,엔티모아,37.251,126.115,인천 옹진군 덕적면 북리 204-7,SKT1,[지상] 1/2층,덕적출장소,POINT (877171.1698661112 1917800.9025048176),옹진군
2904,01232971240,엔티모아,37.611,125.707,인천 옹진군 연평면 연평리 999-5,SKT1,[지상] 1/2층,소연평출장소,POINT (841744.8405471711 1958352.5690404105),0
2905,01232971309,엔티모아,36.327,126.508,대천항중앙길54,SKT1,[지상] 1/2층,대천파출소,POINT (910962.6179356762 1814860.137205654),보령시
2906,01232970904,엔티모아,33.52,126.534,임항로111,SKT2,[지상] 2/2층,제주파출소,POINT (910291.6959442204 1503539.2229926544),제주시
2907,01232971458,엔티모아,35.992,126.71,전북 군산시 장미동 49-42,SKT1,[지상] 1/2층,해망파출소,POINT (928791.2835378358 1777534.62571294),군산시
2908,01232972343,엔티모아,37.53,126.337,인천광역시 옹진군 북도면 장봉리 1209-4,SKT1,[지상] 1/1층,장봉출장소,POINT (897241.6471741099 1948489.971928848),0
2909,01232971592,엔티모아,35.5,129.435,울산 동구 일산동 287,SKT1,[지상] 1/2층,일산출장소,POINT (1175502.1040978367 1724399.7564134786),동구
2910,01232971814,엔티모아,35.094,128.899,부산시 강서구 명지동 2033-7,SKT1,[지상] 1/1층,하신출장소,POINT (1127519.2319365253 1678547.524273835),강서구
2911,01232972314,엔티모아,35.132,129.115,부산 남구 분포로 101,SKT1,[지상] 1/3층,광안리파출소 용호출장소,POINT (1147141.0030365272 1683060.0456011198),남구
2912,01232973086,엔티모아,35.36,126.447,전남 영광군 법성면 진굴비길50,SKT2,[지상] 1/2층,법성우체국,POINT (904332.9510729251 1707660.6430538679),영광군
2913,01232973061,엔티모아,35.239,126.449,포천길30,SKT1,[지상] 1/2층,군남우체국,POINT (904372.39843092 1694238.8508609522),영광군
2914,01232971657,엔티모아,36.87,128.525,기주로100,SKT1,[지상] 1/2층,풍기우체국,POINT (1091356.8743342469 1875126.5193892424),영주시
2915,01232971431,엔티모아,37.527,126.712,인천시 계양구 효서로 146,SKT1,[지상] 1/2층,효성동우체국,POINT (930373.1367212391 1947813.441942165),계양구
2916,01232971553,엔티모아,37.531,127.08,뚝섬로 640,SKT1,[지상] 1/2층,자양동우체국,POINT (962891.4352041984 1948048.4096360249),광진구
2917,01232973549,엔티모아,37.176,127.053,오산시 문헌공로 37,SKT1,[지상] 1층/2층층,오산세교우체국,POINT (960319.4453872364 1908675.426162761),오산시
2918,01232971871,엔티모아,35.872,127.076,쪽구름로80,SKT1,[지상] 1층/2층,전주여의동우체국,POINT (961724.1199549318 1764019.5036373874),전주시 덕진구
2919,01232972363,엔티모아,35.843,127.124,기린대로490,SKT1,[지상] 1/3층,전주덕진동우체국,POINT (966044.894801653 1760785.3076473498),전주시 덕진구
2920,01232972598,엔티모아,37.477,126.631,송화로10,SKT1,[지상] 1/2층,인천화평동우체국,POINT (923164.6996760122 1942329.1872779315),중구
2921,01232973338,엔티모아,37.516,127.137,서울 송파구 방이동 89,SKT1,[지상] 1/2층,오륜동 우체국,POINT (967921.1946065482 1946363.290837633),송파구
2922,01232972894,엔티모아,37.477,126.88,가산디지털2로 108,SKT1,[지상] 1/16층,서울가산디지털우체국,POINT (945181.0689768071 1942155.1135971167),금천구
2923,01232971513,엔티모아,37.422,126.751,인천 남동구 서창방산로67,SKT1,[지상] 1/1층,,POINT (933726.5324976895 1936136.0970498275),남동구
2924,01232973255,엔티모아,36.247,127.621,충북 옥천군 이원면 강청리 74-3,SKT1,[지상] 1층/2층층,옥천이원우체국,POINT (1010871.3363585225 1805536.6969467169),옥천군
2925,01232972715,엔티모아,37.523,126.896,당산로102,SKT1,[지상] 1/2층,서울당산동우체국,POINT (946628.5171778421 1947249.3547645444),영등포구
