usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231322417 (2119)	엔티모아	37.634	127.895	강원 홍천군 홍천읍 삼마치리 164-4	SKT2	[지상] 1/1층	컨테이너형 기지국
01231322754 (2123)	엔티모아	37.153	127.839	강원 원주시 귀래면 용암리 501	SKT1	[지상] 1/1층	원주용암기지국
01231322221 (2124)	엔티모아	37.451	127.851	강원 횡성군 서원면 옥계리 641	SKT2	[지상] 1/1층	횡성석화 기지국 컨테이너
01231300170 (2125)	우리넷	37.154	128.155	충북 제천시 왕암동 1107	SKT2	[지상] 1/1층	들어가서 왼쪽 벽면(정류기앞)
01231322523 (2126)	엔티모아	37.478	128.612	숙암리 557-2	SKT2	[지상] 1/1층	출입문 우측 / 컨테이너형 기지국
01231322706 (2127)	엔티모아	37.488	129.059	강원 동해시 이로동 산 433	SKT1	[지상] 1/1층	컨테이너 출입문 왼쪽 하단 콘센트
01231322474 (2128)	엔티모아	37.129	128.83	강원 영월군 상동읍 내덕리 36-7	SKT1	[지상] 1/1층	영월상동기지국 정류기 앞 설치
01231322371 (2129)	엔티모아	37.22	127.869	강원 원주시 귀래면 귀래리 538-1	SKT1	[지상] 1/1층	원주귀운3기지국
01231322394 (2130)	엔티모아	37.864	128.017	강원 홍천군 두촌면 천현리 309	SKT2	[지상] 1/1층	기지국 벽면 설치
01231322776 (2131)	엔티모아	37.657	127.89	홍천군 홍천읍 장전평리77-1	SKT1	[지상] 1/1층	컨테이너형 기지국
01231321436 (2135)	엔티모아	37.266	127.399	경기도 이천시 서이천로 481-28	SKT1	[지상] 2/4층	eps실 문앞
01231322657 (2136)	엔티모아	37.123	128.898	강원 태백시 혈동 산 87-1	SKT1	[지상] 1/1층	태백혈동기지국 RMS앞 설치
01231322797 (2137)	엔티모아	37.294	127.881	강원 원주시 흥업면 대안리 1250-1	SKT2	[지상] 1/1층	원주대안기지국
01231307613 (2140)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT1	[지상] 2/4층	창조관 2층
01231321856 (2141)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT1	[지상] 3/4층	창조관 3층
01231316327 (2142)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT1	[지상] 4/4층	창조관 4층
